"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","3","cray-hmnfd-test","smoke","","","","test_smoke[{""path"": ""hmi/v1/liveness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hmnfd/hmi/v1/liveness""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","3","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/Inventory/DiscoveryStatus"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/Inventory/DiscoveryStatus""}]",""
"passed","Thu Jan 05 16:32:10 GMT 2023","Thu Jan 05 16:32:10 GMT 2023","18","cray-bss-test","functional","","","","Verify the bootscript service gracefully handles invalid nids for the bootscript resource[one]",""
"failed","Thu Jan 05 16:31:38 GMT 2023","Thu Jan 05 16:31:38 GMT 2023","8","cray-scsd-test","smoke","","","","test_smoke[{""path"": ""v1/liveness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://cray-scsd/v1/liveness""}]",""
"passed","Thu Jan 05 16:32:42 GMT 2023","Thu Jan 05 16:32:42 GMT 2023","30","cray-firmware-action-hmth-test","1-non-disruptive","","","","Verify the snapshots resource for deleting a snapshot",""
"passed","Thu Jan 05 16:32:11 GMT 2023","Thu Jan 05 16:32:22 GMT 2023","10438","cray-firmware-action-hmth-test","1-non-disruptive","","","","Verify the actions resource",""
"passed","Thu Jan 05 16:31:55 GMT 2023","Thu Jan 05 16:31:55 GMT 2023","16","cray-smd-test","functional","","","","Attempt to query the ServiceEndpoints collection for the AccountService with a valid but nonexistent xname",""
"passed","Thu Jan 05 16:31:37 GMT 2023","Thu Jan 05 16:31:37 GMT 2023","4","cray-sls-test","smoke","","","","test_smoke[{""path"": ""v1/version"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/sls/v1/version""}]",""
"passed","Thu Jan 05 16:32:10 GMT 2023","Thu Jan 05 16:32:10 GMT 2023","17","cray-bss-test","functional","","","","Verify the bootscript service gracefully handles invalid nids for the bootscript resource[]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","3","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/Defaults/NodeMaps"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/Defaults/NodeMaps""}]",""
"passed","Thu Jan 05 16:31:55 GMT 2023","Thu Jan 05 16:31:55 GMT 2023","17","cray-smd-test","functional","","","","Attempt to query the ServiceEndpoints collection for the SessionService with a valid but nonexistent xname",""
"passed","Thu Jan 05 16:31:54 GMT 2023","Thu Jan 05 16:31:54 GMT 2023","101","cray-smd-test","functional","","","","Ensure that we can gather information from the RedfishEndpoints collection",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","3","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/Inventory/ServiceEndpoints"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/Inventory/ServiceEndpoints""}]",""
"passed","Thu Jan 05 16:31:50 GMT 2023","Thu Jan 05 16:31:50 GMT 2023","4","cray-firmware-action-hmth-test","smoke","","","","test_smoke[{""path"": ""service/status/details"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/fas/v1/service/status/details""}]",""
